# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
 4193.2500000 752025.68084 3294325.3254 -1787.283240 2426.4532402 560.28083911 -2134.574574 180.12000000 94.100001556 0.3130044296
 4198.0300000 752025.66877 3294320.5577 -1786.941482 2426.1114824 560.26877320 -2139.342325 180.17000000 94.100000000 0.3130044296
 4202.8150000 752025.65669 3294315.7849 -1786.599367 2425.7693670 560.25669468 -2144.115064 180.12000000 94.100001556 0.3126773612
 4207.6000000 752025.64878 3294311.0122 -1786.257252 2425.4272516 560.24878116 -2148.887812 180.07000000 94.100000000 0.3126773612
 4212.4200000 752025.64081 3294306.2047 -1785.910536 2425.0805362 560.24081020 -2153.695318 180.11999683 94.150001575 0.4395313260
 4217.2400000 752025.62864 3294301.3975 -1785.559625 2424.7296255 560.22864468 -2158.502512 180.17000000 94.200000000 0.4395313260
 4222.0350000 752025.61237 3294296.6154 -1785.208448 2424.3784483 560.21236927 -2163.284607 180.22000000 94.200001594 0.3119857591
 4226.8300000 752025.59192 3294291.8333 -1784.857271 2424.0272710 560.19192070 -2168.066686 180.27000000 94.200000000 0.3119857591
 4231.6600000 752025.56922 3294287.0165 -1784.501429 2423.6714287 560.16922180 -2172.883507 180.27000000 94.250000000 0.3105590062
 4236.4900000 752025.54652 3294282.2000 -1784.141383 2423.3113831 560.14652438 -2177.700015 180.27000000 94.300000000 0.3105590062
 4246.1600000 752025.50108 3294272.5573 -1783.416339 2422.5863388 560.10108401 -2187.342688 180.27000000 94.300000000 0.0000000000
 4251.0000000 752025.48045 3294267.7311 -1783.051336 2422.2213358 560.08044669 -2192.168861 180.22000332 94.350001650 0.4376584690
 4255.8400000 752025.46402 3294262.9053 -1782.682121 2421.8521213 560.06402209 -2196.994729 180.17000000 94.400000000 0.4376584690
 4260.6250000 752025.44986 3294258.1330 -1782.333760 2421.5037597 560.04986244 -2201.766998 180.17000000 93.950000000 2.8213166144
 4265.4100000 752025.43570 3294253.3581 -1782.022890 2421.1928899 560.03569511 -2206.541856 180.17000000 93.500000000 2.8213166144
 4270.2050000 752025.42149 3294248.5717 -1781.736427 2420.9064274 560.02149350 -2211.328269 180.17000000 93.350000000 0.9384775808
 4275.0000000 752025.40729 3294243.7846 -1781.462497 2420.6324968 560.00728971 -2216.115416 180.17000000 93.200000000 0.9384775808
 4279.8250000 752025.39300 3294238.9669 -1781.197362 2420.3673622 559.99299530 -2220.933104 180.17000000 93.100000000 0.6217616580
 4284.6500000 752025.37870 3294234.1488 -1780.940636 2420.1106365 559.97869954 -2225.751247 180.17000000 93.000000000 0.6217616580
 4289.4400000 752025.36659 3294229.3646 -1780.704559 2419.8745589 559.96659302 -2230.535403 180.11998586 92.650001008 2.2142742501
 4294.2300000 752025.35866 3294224.5791 -1780.497710 2419.6677104 559.95865919 -2235.320921 180.07000000 92.300000000 2.2142742501
 4303.9000000 752025.34685 3294214.9169 -1780.109636 2419.2796359 559.94685458 -2244.983123 180.07000000 92.300000000 0.0000000000
 4308.7250000 752025.34096 3294210.0959 -1779.913896 2419.0838964 559.94096458 -2249.804147 180.07000000 92.350000000 0.3108808290
 4313.5500000 752025.33507 3294205.2750 -1779.713950 2418.8839499 559.93507480 -2254.624999 180.07000000 92.400000000 0.3108808290
 4318.3800000 752025.32918 3294200.4493 -1779.509585 2418.6795849 559.92917913 -2259.450670 180.07000000 92.450000000 0.3105590062
 4323.2100000 752025.32328 3294195.6238 -1779.301009 2418.4710087 559.92328367 -2264.276160 180.07000000 92.500000000 0.3105590062
 4328.0150000 752025.31742 3294190.8233 -1779.093512 2418.2635122 559.91741874 -2269.076674 180.07000000 92.450000000 0.3121748179
 4332.8200000 752025.31155 3294186.0226 -1778.890205 2418.0602050 559.91155358 -2273.877368 180.07000000 92.400000000 0.3121748179
 4342.4200000 752025.29984 3294176.4311 -1778.488199 2417.6581987 559.89983526 -2283.468940 180.07000000 92.400000000 0.0000000000
 4347.2300000 752025.29816 3294171.6245 -1778.305651 2417.4756509 559.89815921 -2288.275461 179.96997326 91.950002968 2.8750380896
 4352.0400000 752025.30487 3294166.8167 -1778.160859 2417.3308586 559.90487379 -2293.083264 179.87000000 91.500000000 2.8750380896
 4356.8200000 752025.31572 3294162.0382 -1778.044073 2417.2140729 559.91571602 -2297.861822 179.87000000 91.300000000 1.2552301255
 4361.6000000 752025.32656 3294157.2592 -1777.943968 2417.1139681 559.92655910 -2302.640759 179.87000000 91.100000000 1.2552301255
 4366.4200000 752025.33960 3294152.4402 -1777.849334 2417.0193337 559.93959587 -2307.459812 179.82000088 91.150000438 0.4400636058
 4371.2400000 752025.35684 3294147.6212 -1777.750494 2416.9204939 559.95683775 -2312.278767 179.77000000 91.200000000 0.4400636058
 4376.0050000 752025.38012 3294142.8573 -1777.650703 2416.8207032 559.98011873 -2317.042665 179.67000000 91.200001827 0.6294526862
